TEAM STATISTICS,ILS,OPP
SCORING,321,436
Points Per Game,29.2,39.6
FIRST DOWNS,225,249
Rushing,85,109
Passing,125,119
Penalty,15,21
RUSHING YARDAGE,1437,2198
Yards gained rushing,1716,2370
Yards lost rushing,279,172
Rushing Attempts,404,439
Average Per Rush,3.6,5.0
Average Per Game,58.5,58.3
TDs Rushing,13,30
PASSING YARDAGE,2842,2711
Comp-Att-Int,235-369-12,196-317-13
Average Per Pass,7.7,8.6
Average Per Catch,12.1,13.8
TDs Passing,23,26
TOTAL OFFENSE,4279,4909
Total Plays,773,756
Average Per Play,5.5,6.5
KICK RETURNS: #-Yards,66-1638,57-1128
PUNT RETURNS: #-Yards,13-157,18-150
INT RETURNS: #-Yards,13-119,12-275
KICK RETURN AVERAGE,24.8,19.8
PUNT RETURN AVERAGE,12.1,8.3
INT RETURN AVERAGE,9.2,22.9
FUMBLES-LOST,20-10,12-7
PENALTIES-Yards,74-643,72-641
PUNTS-Yards,48-1751,36-1383
Average Per Punt,36.5,38.4
Net punt average,31.7,32.4
TIME OF POSSESSION/Game,30:12,29:48
3RD-DOWN Conversions,69/164,63/140
3rd-Down Pct,42%,45%
4TH-DOWN Conversions,9/14,10/16
4th-Down Pct,64%,62%
SACKS BY-Yards,12-72,17-119
MISC YARDS,3,0
TOUCHDOWNS SCORED,40,58
FIELD GOALS-ATTEMPTS,14-20,9-16
ON-SIDE KICKS,0-0,0-0
RED-ZONE SCORES,(28-37) 76%,(47-54) 87%
RED-ZONE TOUCHDOWNS,(18-37) 49%,(39-54) 72%
PAT-ATTEMPTS,(35-37) 95%,(49-52) 94%
ATTENDANCE,41746,74343
Games/Avg Per Game,6/6958,5/14869
Neutral Site Games,,0/0
