TEAM STATISTICS,SIU,OPP
SCORING,331,285
Points Per Game,30.1,25.9
FIRST DOWNS,228,195
Rushing,119,90
Passing,95,89
Penalty,14,16
RUSHING YARDAGE,2084,1686
Yards gained rushing,2277,2019
Yards lost rushing,193,333
Rushing Attempts,470,431
Average Per Rush,4.4,3.9
Average Per Game,45.0,46.6
TDs Rushing,22,18
PASSING YARDAGE,2076,1967
Comp-Att-Int,175-290-13,155-277-11
Average Per Pass,7.2,7.1
Average Per Catch,11.9,12.7
TDs Passing,18,15
TOTAL OFFENSE,4160,3653
Total Plays,760,708
Average Per Play,5.5,5.2
KICK RETURNS: #-Yards,44-985,43-766
PUNT RETURNS: #-Yards,16-176,18-187
INT RETURNS: #-Yards,11-103,13-184
KICK RETURN AVERAGE,22.4,17.8
PUNT RETURN AVERAGE,11.0,10.4
INT RETURN AVERAGE,9.4,14.2
FUMBLES-LOST,18-12,15-7
PENALTIES-Yards,56-495,62-513
PUNTS-Yards,47-1705,51-1927
Average Per Punt,36.3,37.8
Net punt average,32.3,33.5
TIME OF POSSESSION/Game,30:45,29:15
3RD-DOWN Conversions,51/138,65/146
3rd-Down Pct,37%,45%
4TH-DOWN Conversions,14/22,2/9
4th-Down Pct,64%,22%
SACKS BY-Yards,22-177,22-110
MISC YARDS,0,0
TOUCHDOWNS SCORED,44,36
FIELD GOALS-ATTEMPTS,7-11,11-18
ON-SIDE KICKS,2-2,1-1
RED-ZONE SCORES,(37-48) 77%,(34-43) 79%
RED-ZONE TOUCHDOWNS,(31-48) 65%,(24-43) 56%
PAT-ATTEMPTS,(42-43) 98%,(36-36) 100%
ATTENDANCE,65338,99512
Games/Avg Per Game,6/10890,5/19902
Neutral Site Games,,0/0
