TEAM STATISTICS,MSU,OPP
SCORING,334,374
Points Per Game,30.4,34.0
FIRST DOWNS,222,222
Rushing,118,86
Passing,89,125
Penalty,15,11
RUSHING YARDAGE,2356,1722
Yards gained rushing,2661,1973
Yards lost rushing,305,251
Rushing Attempts,485,413
Average Per Rush,4.9,4.2
Average Per Game,52.8,52.0
TDs Rushing,29,23
PASSING YARDAGE,2324,3097
Comp-Att-Int,180-317-6,215-360-11
Average Per Pass,7.3,8.6
Average Per Catch,12.9,14.4
TDs Passing,10,22
TOTAL OFFENSE,4680,4819
Total Plays,802,773
Average Per Play,5.8,6.2
KICK RETURNS: #-Yards,45-925,44-961
PUNT RETURNS: #-Yards,26-229,24-181
INT RETURNS: #-Yards,11-193,6-109
KICK RETURN AVERAGE,20.6,21.8
PUNT RETURN AVERAGE,8.8,7.5
INT RETURN AVERAGE,17.5,18.2
FUMBLES-LOST,11-7,10-6
PENALTIES-Yards,67-581,65-572
PUNTS-Yards,58-2147,56-2276
Average Per Punt,37.0,40.6
Net punt average,33.2,35.5
TIME OF POSSESSION/Game,30:53,28:50
3RD-DOWN Conversions,69/168,52/150
3rd-Down Pct,41%,35%
4TH-DOWN Conversions,6/15,11/21
4th-Down Pct,40%,52%
SACKS BY-Yards,25-154,24-160
MISC YARDS,10,0
TOUCHDOWNS SCORED,43,48
FIELD GOALS-ATTEMPTS,11-22,12-19
ON-SIDE KICKS,2-3,2-2
RED-ZONE SCORES,(37-49) 76%,(30-38) 79%
RED-ZONE TOUCHDOWNS,(27-49) 55%,(23-38) 61%
PAT-ATTEMPTS,(43-43) 100%,(40-43) 93%
ATTENDANCE,45138,87705
Games/Avg Per Game,5/9028,6/14618
Neutral Site Games,,0/0
