TEAM STATISTICS,JSU,OPP
SCORING,386,300
Points Per Game,32.2,25.0
FIRST DOWNS,239,238
Rushing,109,103
Passing,116,116
Penalty,14,19
RUSHING YARDAGE,2004,1938
Yards gained rushing,2310,2256
Yards lost rushing,306,318
Rushing Attempts,482,465
Average Per Rush,4.2,4.2
Average Per Game,56.1,43.3
TDs Rushing,20,23
PASSING YARDAGE,2606,2373
Comp-Att-Int,211-354-11,198-339-10
Average Per Pass,7.4,7.0
Average Per Catch,12.4,12.0
TDs Passing,27,12
TOTAL OFFENSE,4610,4311
Total Plays,836,804
Average Per Play,5.5,5.4
KICK RETURNS: #-Yards,51-1171,60-1249
PUNT RETURNS: #-Yards,32-353,10-124
INT RETURNS: #-Yards,10-183,11-87
KICK RETURN AVERAGE,23.0,20.8
PUNT RETURN AVERAGE,11.0,12.4
INT RETURN AVERAGE,18.3,7.9
FUMBLES-LOST,23-7,20-8
PENALTIES-Yards,76-673,65-520
PUNTS-Yards,46-1798,56-2200
Average Per Punt,39.1,39.3
Net punt average,35.5,31.6
TIME OF POSSESSION/Game,31:57,29:18
3RD-DOWN Conversions,76/171,62/158
3rd-Down Pct,44%,39%
4TH-DOWN Conversions,11/19,7/22
4th-Down Pct,58%,32%
SACKS BY-Yards,14-97,10-65
MISC YARDS,0,7
TOUCHDOWNS SCORED,49,39
FIELD GOALS-ATTEMPTS,15-22,10-17
ON-SIDE KICKS,1-1,2-2
RED-ZONE SCORES,(48-56) 86%,(34-44) 77%
RED-ZONE TOUCHDOWNS,(37-56) 66%,(27-44) 61%
PAT-ATTEMPTS,(41-44) 93%,(34-35) 97%
ATTENDANCE,103977,87996
Games/Avg Per Game,6/17330,6/14666
Neutral Site Games,,0/0
