TEAM STATISTICS,TTU,OPP
SCORING,355,279
Points Per Game,32.3,25.4
FIRST DOWNS,238,205
Rushing,115,83
Passing,101,112
Penalty,22,10
RUSHING YARDAGE,2144,1633
Yards gained rushing,2437,1838
Yards lost rushing,293,205
Rushing Attempts,483,416
Average Per Rush,4.4,3.9
Average Per Game,55.7,49.3
TDs Rushing,26,19
PASSING YARDAGE,2372,2245
Comp-Att-Int,208-318-10,202-345-11
Average Per Pass,7.5,6.5
Average Per Catch,11.4,11.1
TDs Passing,17,16
TOTAL OFFENSE,4516,3878
Total Plays,801,761
Average Per Play,5.6,5.1
KICK RETURNS: #-Yards,40-816,52-1063
PUNT RETURNS: #-Yards,18-209,11-43
INT RETURNS: #-Yards,11-130,10-207
KICK RETURN AVERAGE,20.4,20.4
PUNT RETURN AVERAGE,11.6,3.9
INT RETURN AVERAGE,11.8,20.7
FUMBLES-LOST,18-11,15-10
PENALTIES-Yards,78-613,64-542
PUNTS-Yards,39-1531,53-2024
Average Per Punt,39.3,38.2
Net punt average,37.1,33.5
TIME OF POSSESSION/Game,31:06,28:50
3RD-DOWN Conversions,72/159,73/166
3rd-Down Pct,45%,44%
4TH-DOWN Conversions,14/23,12/21
4th-Down Pct,61%,57%
SACKS BY-Yards,15-108,19-142
MISC YARDS,0,0
TOUCHDOWNS SCORED,47,37
FIELD GOALS-ATTEMPTS,9-16,7-14
ON-SIDE KICKS,0-2,2-2
RED-ZONE SCORES,(44-56) 79%,(33-40) 82%
RED-ZONE TOUCHDOWNS,(36-56) 64%,(27-40) 68%
PAT-ATTEMPTS,(46-47) 98%,(36-36) 100%
ATTENDANCE,50443,107406
Games/Avg Per Game,6/8407,5/21481
Neutral Site Games,,0/0
