TEAM STATISTICS,SIU,OPP
SCORING,247,214
Points Per Game,22.5,19.5
FIRST DOWNS,182,198
Rushing,70,75
Passing,89,106
Penalty,23,17
RUSHING YARDAGE,1355,1224
Yards gained rushing,1637,1571
Yards lost rushing,282,347
Rushing Attempts,418,409
Average Per Rush,3.2,3.0
Average Per Game,53.8,58.1
TDs Rushing,11,14
PASSING YARDAGE,1900,2323
Comp-Att-Int,196-336-10,226-371-9
Average Per Pass,5.7,6.3
Average Per Catch,9.7,10.3
TDs Passing,12,12
TOTAL OFFENSE,3255,3547
Total Plays,754,780
Average Per Play,4.3,4.5
KICK RETURNS: #-Yards,34-528,33-801
PUNT RETURNS: #-Yards,26-305,14-23
INT RETURNS: #-Yards,9-196,10-134
KICK RETURN AVERAGE,15.5,24.3
PUNT RETURN AVERAGE,11.7,1.6
INT RETURN AVERAGE,21.8,13.4
FUMBLES-LOST,20-12,24-15
PENALTIES-Yards,69-592,70-639
PUNTS-Yards,72-2871,83-3030
Average Per Punt,39.9,36.5
Net punt average,37.6,31.4
KICKOFFS-Yards,49-2986,47-2611
Average Per Kick,60.9,55.6
Net kick average,52.8,39.5
TIME OF POSSESSION/Game,29:05,30:54
3RD-DOWN Conversions,51/169,56/170
3rd-Down Pct,30%,33%
4TH-DOWN Conversions,11/18,11/16
4th-Down Pct,61%,69%
SACKS BY-Yards,35-230,23-146
MISC YARDS,30,0
TOUCHDOWNS SCORED,32,27
FIELD GOALS-ATTEMPTS,7-14,9-10
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,(22-30) 73%,(26-34) 76%
RED-ZONE TOUCHDOWNS,(15-30) 50%,(19-34) 56%
PAT-ATTEMPTS,(30-31) 97%,(25-27) 93%
ATTENDANCE,47751,74362
Games/Avg Per Game,5/9550,6/12394
Neutral Site Games,,0/0
