TEAM STATISTICS,TSU,OPP
SCORING,317,251
Points Per Game,28.8,22.8
FIRST DOWNS,243,220
Rushing,104,92
Passing,121,105
Penalty,18,23
RUSHING YARDAGE,1933,1684
Yards gained rushing,2135,1972
Yards lost rushing,202,288
Rushing Attempts,454,402
Average Per Rush,4.3,4.2
Average Per Game,87.4,67.4
TDs Rushing,19,15
PASSING YARDAGE,2755,2294
Comp-Att-Int,216-364-10,193-354-14
Average Per Pass,7.6,6.5
Average Per Catch,12.8,11.9
TDs Passing,18,15
TOTAL OFFENSE,4688,3978
Total Plays,818,756
Average Per Play,5.7,5.3
KICK RETURNS: #-Yards,40-764,43-743
PUNT RETURNS: #-Yards,19-148,20-216
INT RETURNS: #-Yards,14-116,10-107
KICK RETURN AVERAGE,19.1,17.3
PUNT RETURN AVERAGE,7.8,10.8
INT RETURN AVERAGE,8.3,10.7
FUMBLES-LOST,17-9,16-7
PENALTIES-Yards,112-961,80-741
PUNTS-Yards,53-1978,50-2026
Average Per Punt,37.3,40.5
Net punt average,32.3,36.6
KICKOFFS-Yards,62-3188,50-2921
Average Per Kick,51.4,58.4
Net kick average,36.6,41.1
TIME OF POSSESSION/Game,32:02,27:53
3RD-DOWN Conversions,76/175,54/153
3rd-Down Pct,43%,35%
4TH-DOWN Conversions,10/16,10/25
4th-Down Pct,62%,40%
SACKS BY-Yards,21-142,17-120
MISC YARDS,174,0
TOUCHDOWNS SCORED,39,32
FIELD GOALS-ATTEMPTS,16-20,9-17
ON-SIDE KICKS,0-1,0-1
RED-ZONE SCORES,(40-48) 83%,(30-43) 70%
RED-ZONE TOUCHDOWNS,(30-48) 63%,(21-43) 49%
PAT-ATTEMPTS,(33-36) 92%,(30-31) 97%
ATTENDANCE,82932,38562
Games/Avg Per Game,5/16586,5/7712
Neutral Site Games,,1/42257
