TEAM STATISTICS,SIU,OPP
SCORING,353,256
Points Per Game,29.4,21.3
FIRST DOWNS,234,219
Rushing,109,82
Passing,107,117
Penalty,18,20
RUSHING YARDAGE,2031,1344
Yards gained rushing,2337,1698
Yards lost rushing,306,354
Rushing Attempts,455,441
Average Per Rush,4.5,3.0
Average Per Game,53.6,53.8
TDs Rushing,19,14
PASSING YARDAGE,2241,2542
Att-Comp-Int,348-198-10,396-234-16
Average Per Pass,6.4,6.4
Average Per Catch,11.3,10.9
TDs Passing,17,15
TOTAL OFFENSE,4272,3886
Total Plays,803,837
Average Per Play,5.3,4.6
KICK RETURNS: #-Yards,42-1008,60-1251
PUNT RETURNS: #-Yards,24-240,36-393
INT RETURNS: #-Yards,16-241,10-78
KICK RETURN AVERAGE,24.0,20.9
PUNT RETURN AVERAGE,10.0,10.9
INT RETURN AVERAGE,15.1,7.8
FUMBLES-LOST,22-12,27-14
PENALTIES-Yards,79-643,68-646
PUNTS-Yards,60-2337,62-2433
Average Per Punt,39.0,39.2
Net punt average,30.1,33.1
TIME OF POSSESSION/Game,29:37,30:23
3RD-DOWN Conversions,57/162,66/180
3rd-Down Pct,35%,37%
4TH-DOWN Conversions,11/18,8/16
4th-Down Pct,61%,50%
SACKS BY-Yards,29-209,24-173
MISC YARDS,0,1
TOUCHDOWNS SCORED,44,31
FIELD GOALS-ATTEMPTS,15-23,13-20
ON-SIDE KICKS,0-1,0-1
RED-ZONE SCORES,35-47 74%,36-48 75%
RED-ZONE TOUCHDOWNS,25-47 53%,23-48 48%
PAT-ATTEMPTS,40-42 95%,31-31 100%
ATTENDANCE,63383,65191
Games/Avg Per Game,7/9055,5/13038
Neutral Site Games,,0/0
