TEAM STATISTICS,TSU,OPP
SCORING,161,208
Points Per Game,14.6,18.9
FIRST DOWNS,159,188
Rushing,87,75
Passing,59,91
Penalty,13,22
RUSHING YARDAGE,1647,1319
Yards gained rushing,1985,1586
Yards lost rushing,338,267
Rushing Attempts,457,398
Average Per Rush,3.6,3.3
Average Per Game,62.5,54.9
TDs Rushing,12,12
PASSING YARDAGE,1360,2076
Comp-Att-Int,120-251-15,167-331-12
Average Per Pass,5.4,6.3
Average Per Catch,11.3,12.4
TDs Passing,8,13
TOTAL OFFENSE,3007,3395
Total Plays,708,729
Average Per Play,4.2,4.7
KICK RETURNS: #-Yards,42-742,29-624
PUNT RETURNS: #-Yards,20-106,38-319
INT RETURNS: #-Yards,12-297,15-134
KICK RETURN AVERAGE,17.7,21.5
PUNT RETURN AVERAGE,5.3,8.4
INT RETURN AVERAGE,24.8,8.9
FUMBLES-LOST,15-6,15-7
PENALTIES-Yards,86-687,62-604
PUNTS-Yards,78-2915,66-2511
Average Per Punt,37.4,38.0
Net punt average,31.7,34.9
TIME OF POSSESSION/Game,30:53,29:07
3RD-DOWN Conversions,48/159,54/162
3rd-Down Pct,30%,33%
4TH-DOWN Conversions,6/19,8/15
4th-Down Pct,32%,53%
SACKS BY-Yards,20-123,12-83
MISC YARDS,47,6
TOUCHDOWNS SCORED,23,26
FIELD GOALS-ATTEMPTS,2-6,9-19
ON-SIDE KICKS,0-2,0-1
RED-ZONE SCORES,(19-27) 70%,(24-35) 69%
RED-ZONE TOUCHDOWNS,(18-27) 67%,(19-35) 54%
PAT-ATTEMPTS,(15-22) 68%,(25-26) 96%
ATTENDANCE,57849,37823
Games/Avg Per Game,4/14462,5/7565
Neutral Site Games,,2/47628
