TEAM STATISTICS,UNI,OPP
SCORING,320,242
Points Per Game,29.1,22.0
Points Off Turnovers,80,44
FIRST DOWNS,216,183
Rushing,106,74
Passing,92,87
Penalty,18,22
RUSHING YARDAGE,1797,1317
Yards gained rushing,2093,1578
Yards lost rushing,296,261
Rushing Attempts,466,399
Average Per Rush,3.9,3.3
Average Per Game,61.2,64.9
TDs Rushing,20,8
PASSING YARDAGE,2178,2095
Comp-Att-Int,174-308-9,182-316-17
Average Per Pass,7.1,6.6
Average Per Catch,12.5,11.5
TDs Passing,13,21
TOTAL OFFENSE,3975,3412
Total Plays,774,715
Average Per Play,5.1,4.8
KICK RETURNS: #-Yards,30-708,42-956
PUNT RETURNS: #-Yards,15-189,14-265
INT RETURNS: #-Yards,17-324,9-113
KICK RETURN AVERAGE,23.6,22.8
PUNT RETURN AVERAGE,12.6,18.9
INT RETURN AVERAGE,19.1,12.6
FUMBLES-LOST,14-8,12-7
PENALTIES-Yards,74-673,78-714
PUNTS-Yards,57-2336,65-2636
Average Per Punt,41.0,40.6
Net punt average,34.9,36.1
KICKOFFS-Yards,64-3835,49-2889
Average Per Kick,59.9,59.0
Net kick average,36.8,36.9
TIME OF POSSESSION/Game,31:40,28:20
3RD-DOWN Conversions,71/172,63/163
3rd-Down Pct,41%,39%
4TH-DOWN Conversions,8/12,6/14
4th-Down Pct,67%,43%
SACKS BY-Yards,29-170,33-204
MISC YARDS,0,-20
TOUCHDOWNS SCORED,39,32
FIELD GOALS-ATTEMPTS,16-24,7-11
ON-SIDE KICKS,0-0,0-2
RED-ZONE SCORES,(43-54) 80%,(23-25) 92%
RED-ZONE TOUCHDOWNS,(29-54) 54%,(17-25) 68%
PAT-ATTEMPTS,(34-37) 92%,(29-31) 94%
ATTENDANCE,60613,100155
Games/Avg Per Game,5/12123,6/16692
Neutral Site Games,,0/0
