TEAM STATISTICS,MSU,OPP
SCORING,257,393
Points Per Game,23.4,35.7
Points Off Turnovers,48,102
FIRST DOWNS,183,222
Rushing,87,88
Passing,83,124
Penalty,13,10
RUSHING YARDAGE,1413,2016
Yards gained rushing,1730,2272
Yards lost rushing,317,256
Rushing Attempts,393,413
Average Per Rush,3.6,4.9
Average Per Game,45.8,45.8
TDs Rushing,8,31
PASSING YARDAGE,2122,2861
Comp-Att-Int,184-331-17,238-367-10
Average Per Pass,6.4,7.8
Average Per Catch,11.5,12.0
TDs Passing,22,16
TOTAL OFFENSE,3535,4877
Total Plays,724,780
Average Per Play,4.9,6.3
KICK RETURNS: #-Yards,46-932,31-652
PUNT RETURNS: #-Yards,9-117,19-95
INT RETURNS: #-Yards,10-114,17-193
KICK RETURN AVERAGE,20.3,21.0
PUNT RETURN AVERAGE,13.0,5.0
INT RETURN AVERAGE,11.4,11.4
FUMBLES-LOST,17-11,16-8
PENALTIES-Yards,48-504,56-504
PUNTS-Yards,62-2420,50-1982
Average Per Punt,39.0,39.6
Net punt average,36.9,33.3
KICKOFFS-Yards,50-2948,74-4321
Average Per Kick,59.0,58.4
Net kick average,39.4,37.4
TIME OF POSSESSION/Game,27:23,29:53
3RD-DOWN Conversions,58/157,70/166
3rd-Down Pct,37%,42%
4TH-DOWN Conversions,5/15,10/21
4th-Down Pct,33%,48%
SACKS BY-Yards,17-125,16-118
MISC YARDS,0,0
TOUCHDOWNS SCORED,33,51
FIELD GOALS-ATTEMPTS,8-12,13-17
ON-SIDE KICKS,0-1,0-1
RED-ZONE SCORES,(23-30) 77%,(43-50) 86%
RED-ZONE TOUCHDOWNS,(16-30) 53%,(32-50) 64%
PAT-ATTEMPTS,(31-32) 97%,(48-50) 96%
ATTENDANCE,50485,93604
Games/Avg Per Game,5/10097,6/15601
Neutral Site Games,,0/0
