TEAM STATISTICS,TTU,OPP
SCORING,238,360
Points Per Game,19.8,30.0
Points Off Turnovers,74,238
FIRST DOWNS,173,266
Rushing,77,138
Passing,82,112
Penalty,14,16
RUSHING YARDAGE,1621,2730
Yards gained rushing,2036,3042
Yards lost rushing,415,312
Rushing Attempts,445,563
Average Per Rush,3.6,4.8
Average Per Game,44.5,47.5
TDs Rushing,14,20
PASSING YARDAGE,1704,2657
Comp-Att-Int,165-317-12,239-360-8
Average Per Pass,5.4,7.4
Average Per Catch,10.3,11.1
TDs Passing,10,20
TOTAL OFFENSE,3325,5387
Total Plays,762,923
Average Per Play,4.4,5.8
KICK RETURNS: #-Yards,54-1032,40-904
PUNT RETURNS: #-Yards,23-301,26-159
INT RETURNS: #-Yards,8-50,12-115
KICK RETURN AVERAGE,19.1,22.6
PUNT RETURN AVERAGE,13.1,6.1
INT RETURN AVERAGE,6.2,9.6
FUMBLES-LOST,28-19,28-17
PENALTIES-Yards,63-534,65-570
PUNTS-Yards,79-3279,53-1949
Average Per Punt,41.5,36.8
Net punt average,38.5,29.6
KICKOFFS-Yards,52-2930,75-4322
Average Per Kick,56.3,57.6
Net kick average,33.7,37.5
TIME OF POSSESSION/Game,27:37,32:23
3RD-DOWN Conversions,55/177,74/184
3rd-Down Pct,31%,40%
4TH-DOWN Conversions,7/16,7/19
4th-Down Pct,44%,37%
SACKS BY-Yards,18-122,36-210
MISC YARDS,-7,85
TOUCHDOWNS SCORED,29,43
FIELD GOALS-ATTEMPTS,11-16,19-28
ON-SIDE KICKS,0-0,0-0
RED-ZONE SCORES,(22-31) 71%,(44-56) 79%
RED-ZONE TOUCHDOWNS,(14-31) 45%,(28-56) 50%
PAT-ATTEMPTS,(27-28) 96%,(43-43) 100%
ATTENDANCE,37328,45576
Games/Avg Per Game,6/6221,6/7596
Neutral Site Games,,0/0
