TEAM STATISTICS,SEMO,OPP
SCORING,229,268
Points Per Game,20.8,24.4
Points Off Turnovers,41,58
FIRST DOWNS,212,221
Rushing,82,72
Passing,105,127
Penalty,25,22
RUSHING YARDAGE,1486,1523
Yards gained rushing,1782,1822
Yards lost rushing,296,299
Rushing Attempts,413,414
Average Per Rush,3.6,3.7
Average Per Game,61.5,59.5
TDs Rushing,13,8
PASSING YARDAGE,2350,2769
Comp-Att-Int,180-364-8,212-358-5
Average Per Pass,6.5,7.7
Average Per Catch,13.1,13.1
TDs Passing,11,22
TOTAL OFFENSE,3836,4292
Total Plays,777,772
Average Per Play,4.9,5.6
KICK RETURNS: #-Yards,41-941,28-562
PUNT RETURNS: #-Yards,22-143,21-125
INT RETURNS: #-Yards,5-63,8-67
KICK RETURN AVERAGE,23.0,20.1
PUNT RETURN AVERAGE,6.5,6.0
INT RETURN AVERAGE,12.6,8.4
FUMBLES-LOST,21-7,14-8
PENALTIES-Yards,80-676,71-655
PUNTS-Yards,66-2834,65-2522
Average Per Punt,42.9,38.8
Net punt average,38.6,35.1
KICKOFFS-Yards,52-3251,54-3206
Average Per Kick,62.5,59.4
Net kick average,40.7,36.4
TIME OF POSSESSION/Game,31:31,28:29
3RD-DOWN Conversions,64/180,66/171
3rd-Down Pct,36%,39%
4TH-DOWN Conversions,12/18,6/14
4th-Down Pct,67%,43%
SACKS BY-Yards,17-101,23-150
MISC YARDS,0,33
TOUCHDOWNS SCORED,25,33
FIELD GOALS-ATTEMPTS,18-26,13-18
ON-SIDE KICKS,0-2,0-1
RED-ZONE SCORES,(26-34) 76%,(27-37) 73%
RED-ZONE TOUCHDOWNS,(12-34) 35%,(21-37) 57%
PAT-ATTEMPTS,(23-23) 100%,(27-28) 96%
ATTENDANCE,26813,85471
Games/Avg Per Game,5/5363,6/14245
Neutral Site Games,,0/0
