TEAM STATISTICS,TTU,OPP
SCORING,264,317
Points Per Game,26.4,31.7
FIRST DOWNS,188,224
Rushing,92,118
Passing,73,93
Penalty,23,13
RUSHING YARDAGE,1586,2156
Yards gained rushing,1927,2373
Yards lost rushing,341,217
Rushing Attempts,414,427
Average Per Rush,3.8,5.0
Average Per Game,51.6,62.0
TDs Rushing,14,20
PASSING YARDAGE,1685,2034
Comp-Att-Int,131-230-5,172-270-12
Average Per Pass,7.3,7.5
Average Per Catch,12.9,11.8
TDs Passing,13,18
TOTAL OFFENSE,3271,4190
Total Plays,644,697
Average Per Play,5.1,6.0
KICK RETURNS: #-Yards,43-667,36-791
PUNT RETURNS: #-Yards,8-100,12-92
INT RETURNS: #-Yards,12-89,5-107
KICK RETURN AVERAGE,15.5,22.0
PUNT RETURN AVERAGE,12.5,7.7
INT RETURN AVERAGE,7.4,21.4
FUMBLES-LOST,25-12,14-8
PENALTIES-Yards,76-516,72-620
PUNTS-Yards,43-1656,29-1160
Average Per Punt,38.5,40.0
Net punt average,34.0,34.5
TIME OF POSSESSION/Game,29:44,30:16
3RD-DOWN Conversions,56/138,62/133
3rd-Down Pct,41%,47%
4TH-DOWN Conversions,10/17,10/18
4th-Down Pct,59%,56%
SACKS BY-Yards,17-90,18-108
MISC YARDS,7,27
TOUCHDOWNS SCORED,28,41
FIELD GOALS-ATTEMPTS,9-16,11-17
ON-SIDE KICKS,0-2,0-0
RED-ZONE SCORES,(31-38) 82%,(38-47) 81%
RED-ZONE TOUCHDOWNS,(24-38) 63%,(28-47) 60%
PAT-ATTEMPTS,(26-28) 93%,(36-40) 90%
ATTENDANCE,27081,133516
Games/Avg Per Game,4/6770,6/22253
Neutral Site Games,,0/0
