TEAM STATISTICS,UTM,OPP
SCORING,369,323
Points Per Game,33.5,29.4
FIRST DOWNS,249,286
Rushing,77,122
Passing,146,146
Penalty,26,18
RUSHING YARDAGE,1427,2027
Yards gained rushing,1676,2282
Yards lost rushing,249,255
Rushing Attempts,390,472
Average Per Rush,3.7,4.3
Average Per Game,62.8,67.0
TDs Rushing,14,13
PASSING YARDAGE,3295,3145
Comp-Att-Int,265-418-8,234-417-13
Average Per Pass,7.9,7.5
Average Per Catch,12.4,13.4
TDs Passing,31,30
TOTAL OFFENSE,4722,5172
Total Plays,808,889
Average Per Play,5.8,5.8
KICK RETURNS: #-Yards,42-892,45-691
PUNT RETURNS: #-Yards,17-280,9-53
INT RETURNS: #-Yards,13-144,8-132
KICK RETURN AVERAGE,21.2,15.4
PUNT RETURN AVERAGE,16.5,5.9
INT RETURN AVERAGE,11.1,16.5
FUMBLES-LOST,15-5,21-13
PENALTIES-Yards,78-691,82-737
PUNTS-Yards,48-1995,48-1890
Average Per Punt,41.6,39.4
Net punt average,37.9,32.5
KICKOFFS-Yards,68-3862,58-3325
Average Per Kick,56.8,57.3
Net kick average,40.8,36.3
TIME OF POSSESSION/Game,29:37,30:23
3RD-DOWN Conversions,62/155,82/183
3rd-Down Pct,40%,45%
4TH-DOWN Conversions,11/23,20/28
4th-Down Pct,48%,71%
SACKS BY-Yards,22-136,12-81
MISC YARDS,0,48
TOUCHDOWNS SCORED,49,43
FIELD GOALS-ATTEMPTS,9-19,9-18
ON-SIDE KICKS,0-0,0-3
RED-ZONE SCORES,(37-50) 74%,(40-52) 77%
RED-ZONE TOUCHDOWNS,(30-50) 60%,(32-52) 62%
PAT-ATTEMPTS,(46-47) 98%,(36-39) 92%
ATTENDANCE,25523,81675
Games/Avg Per Game,5/5105,6/13612
Neutral Site Games,,0/0
