TEAM STATISTICS,EKU,OPP
SCORING,344,239
Points Per Game,31.3,21.7
FIRST DOWNS,247,221
Rushing,136,76
Passing,105,126
Penalty,6,19
RUSHING YARDAGE,2263,1190
Yards gained rushing,2509,1465
Yards lost rushing,246,275
Rushing Attempts,549,339
Average Per Rush,4.1,3.5
Average Per Game,51.4,36.8
TDs Rushing,25,10
PASSING YARDAGE,2421,2796
Comp-Att-Int,155-269-6,262-416-16
Average Per Pass,9.0,6.7
Average Per Catch,15.6,10.7
TDs Passing,19,21
TOTAL OFFENSE,4684,3986
Total Plays,818,755
Average Per Play,5.7,5.3
KICK RETURNS: #-Yards,35-821,55-1155
PUNT RETURNS: #-Yards,13-56,18-105
INT RETURNS: #-Yards,16-317,6-82
KICK RETURN AVERAGE,23.5,21.0
PUNT RETURN AVERAGE,4.3,5.8
INT RETURN AVERAGE,19.8,13.7
FUMBLES-LOST,16-3,18-12
PENALTIES-Yards,70-565,55-405
PUNTS-Yards,47-1779,48-1986
Average Per Punt,37.9,41.4
Net punt average,34.3,37.7
KICKOFFS-Yards,65-3614,49-2759
Average Per Kick,55.6,56.3
Net kick average,35.9,35.5
TIME OF POSSESSION/Game,34:15,25:45
3RD-DOWN Conversions,91/177,68/155
3rd-Down Pct,51%,44%
4TH-DOWN Conversions,10/15,9/20
4th-Down Pct,67%,45%
SACKS BY-Yards,24-162,17-98
MISC YARDS,0,7
TOUCHDOWNS SCORED,46,32
FIELD GOALS-ATTEMPTS,8-17,6-9
ON-SIDE KICKS,0-0,0-0
RED-ZONE SCORES,(33-41) 80%,(28-34) 82%
RED-ZONE TOUCHDOWNS,(26-41) 63%,(25-34) 74%
PAT-ATTEMPTS,(42-45) 93%,(27-30) 90%
ATTENDANCE,49000,73953
Games/Avg Per Game,5/9800,6/12326
Neutral Site Games,,0/0
