TEAM STATISTICS,SIU,OPP
SCORING,342,302
Points Per Game,28.5,25.2
FIRST DOWNS,246,226
Rushing,104,93
Passing,132,114
Penalty,10,19
RUSHING YARDAGE,1837,1474
Yards gained rushing,2005,1785
Yards lost rushing,168,311
Rushing Attempts,456,420
Average Per Rush,4.0,3.5
Average Per Game,44.2,39.0
TDs Rushing,14,13
PASSING YARDAGE,2782,2875
Comp-Att-Int,233-409-10,234-394-10
Average Per Pass,6.8,7.3
Average Per Catch,11.9,12.3
TDs Passing,25,21
TOTAL OFFENSE,4619,4349
Total Plays,865,814
Average Per Play,5.3,5.3
KICK RETURNS: #-Yards,36-782,50-998
PUNT RETURNS: #-Yards,16-64,14-87
INT RETURNS: #-Yards,10-176,10-456
KICK RETURN AVERAGE,21.7,20.0
PUNT RETURN AVERAGE,4.0,6.2
INT RETURN AVERAGE,17.6,45.6
FUMBLES-LOST,17-7,16-8
PENALTIES-Yards,62-530,53-468
PUNTS-Yards,55-2201,62-2276
Average Per Punt,40.0,36.7
Net punt average,37.3,33.7
KICKOFFS-Yards,69-4078,59-3284
Average Per Kick,59.1,55.7
Net kick average,39.2,34.8
TIME OF POSSESSION/Game,31:56,28:04
3RD-DOWN Conversions,85/183,65/171
3rd-Down Pct,46%,38%
4TH-DOWN Conversions,6/13,10/15
4th-Down Pct,46%,67%
SACKS BY-Yards,24-192,14-62
MISC YARDS,86,-15
TOUCHDOWNS SCORED,41,39
FIELD GOALS-ATTEMPTS,18-24,11-18
ON-SIDE KICKS,0-0,0-2
RED-ZONE SCORES,(48-56) 86%,(33-42) 79%
RED-ZONE TOUCHDOWNS,(34-56) 61%,(24-42) 57%
PAT-ATTEMPTS,(40-41) 98%,(33-37) 89%
ATTENDANCE,51325,75940
Games/Avg Per Game,6/8554,5/15188
Neutral Site Games,,1/14618
