TEAM STATISTICS,UNI,OPP
SCORING,315,226
Points Per Game,26.2,18.8
FIRST DOWNS,211,228
Rushing,97,98
Passing,102,113
Penalty,12,17
RUSHING YARDAGE,1957,1579
Yards gained rushing,2175,1950
Yards lost rushing,218,371
Rushing Attempts,469,474
Average Per Rush,4.2,3.3
Average Per Game,45.8,46.5
TDs Rushing,16,9
PASSING YARDAGE,2276,2435
Comp-Att-Int,198-331-9,217-391-11
Average Per Pass,6.9,6.2
Average Per Catch,11.5,11.2
TDs Passing,16,15
TOTAL OFFENSE,4233,4014
Total Plays,800,865
Average Per Play,5.3,4.6
KICK RETURNS: #-Yards,31-620,49-1015
PUNT RETURNS: #-Yards,21-107,28-237
INT RETURNS: #-Yards,11-301,9-196
KICK RETURN AVERAGE,20.0,20.7
PUNT RETURN AVERAGE,5.1,8.5
INT RETURN AVERAGE,27.4,21.8
FUMBLES-LOST,14-8,18-11
PENALTIES-Yards,59-549,75-558
PUNTS-Yards,64-2552,65-2609
Average Per Punt,39.9,40.1
Net punt average,34.9,36.6
KICKOFFS-Yards,65-4005,45-2655
Average Per Kick,61.6,59.0
Net kick average,41.4,40.8
TIME OF POSSESSION/Game,28:01,31:59
3RD-DOWN Conversions,67/179,71/196
3rd-Down Pct,37%,36%
4TH-DOWN Conversions,6/12,12/30
4th-Down Pct,50%,40%
SACKS BY-Yards,31-195,16-105
MISC YARDS,0,0
TOUCHDOWNS SCORED,36,28
FIELD GOALS-ATTEMPTS,21-27,11-22
ON-SIDE KICKS,0-0,1-1
RED-ZONE SCORES,(37-48) 77%,(31-40) 77%
RED-ZONE TOUCHDOWNS,(20-48) 42%,(20-40) 50%
PAT-ATTEMPTS,(34-34) 100%,(25-25) 100%
ATTENDANCE,75431,100204
Games/Avg Per Game,6/12572,6/16701
Neutral Site Games,,0/0
