TEAM STATISTICS,WIU,OPP
SCORING,168,397
Points Per Game,15.3,36.1
FIRST DOWNS,177,218
Rushing,83,111
Passing,82,84
Penalty,12,23
RUSHING YARDAGE,1545,2299
Yards gained rushing,1886,2486
Yards lost rushing,341,187
Rushing Attempts,447,453
Average Per Rush,3.5,5.1
Average Per Game,71.2,57.5
TDs Rushing,8,25
PASSING YARDAGE,1862,2219
Comp-Att-Int,153-276-14,144-263-8
Average Per Pass,6.7,8.4
Average Per Catch,12.2,15.4
TDs Passing,14,24
TOTAL OFFENSE,3407,4518
Total Plays,723,716
Average Per Play,4.7,6.3
KICK RETURNS: #-Yards,65-1299,31-770
PUNT RETURNS: #-Yards,18-57,30-222
INT RETURNS: #-Yards,8-55,14-299
KICK RETURN AVERAGE,20.0,24.8
PUNT RETURN AVERAGE,3.2,7.4
INT RETURN AVERAGE,6.9,21.4
FUMBLES-LOST,14-9,9-6
PENALTIES-Yards,85-783,67-633
PUNTS-Yards,74-2801,50-2063
Average Per Punt,37.9,41.3
Net punt average,34.0,38.9
TIME OF POSSESSION/Game,29:01,30:47
3RD-DOWN Conversions,58/161,57/142
3rd-Down Pct,36%,40%
4TH-DOWN Conversions,4/15,4/12
4th-Down Pct,27%,33%
SACKS BY-Yards,12-76,37-257
MISC YARDS,17,0
TOUCHDOWNS SCORED,23,53
FIELD GOALS-ATTEMPTS,3-6,10-17
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,(16-26) 62%,(38-42) 90%
RED-ZONE TOUCHDOWNS,(13-26) 50%,(28-42) 67%
PAT-ATTEMPTS,(21-23) 91%,(49-52) 94%
ATTENDANCE,41786,116216
Games/Avg Per Game,5/8357,6/19369
Neutral Site Games,,0/0
