TEAM STATISTICS,MUR,OPP
SCORING,287,387
Points Per Game,26.1,35.2
Points Off Turnovers,100,54
FIRST DOWNS,206,283
Rushing,47,118
Passing,129,139
Penalty,30,26
RUSHING YARDAGE,856,2242
Yards gained rushing,1236,2486
Yards lost rushing,380,244
Rushing Attempts,345,468
Average Per Rush,2.5,4.8
Average Per Game,63.1,77.0
TDs Rushing,9,21
PASSING YARDAGE,3337,3139
Comp-Att-Int,302-477-14,244-412-11
Average Per Pass,7.0,7.6
Average Per Catch,11.0,12.9
TDs Passing,24,25
TOTAL OFFENSE,4193,5381
Total Plays,822,880
Average Per Play,5.1,6.1
KICK RETURNS: #-Yards,43-728,40-1059
PUNT RETURNS: #-Yards,15-103,19-88
INT RETURNS: #-Yards,11-95,14-109
KICK RETURN AVERAGE,16.9,26.5
PUNT RETURN AVERAGE,6.9,4.6
INT RETURN AVERAGE,8.6,7.8
FUMBLES-LOST,9-5,23-12
PENALTIES-Yards,73-694,98-847
PUNTS-Yards,65-2710,55-2110
Average Per Punt,41.7,38.4
Net punt average,39.1,35.4
KICKOFFS-Yards,62-3639,71-3980
Average Per Kick,58.7,56.1
Net kick average,35.6,39.8
TIME OF POSSESSION/Game,26:53,33:07
3RD-DOWN Conversions,53/184,72/174
3rd-Down Pct,29%,41%
4TH-DOWN Conversions,10/22,11/18
4th-Down Pct,45%,61%
SACKS BY-Yards,21-122,37-217
MISC YARDS,5,0
TOUCHDOWNS SCORED,33,49
FIELD GOALS-ATTEMPTS,20-27,14-25
ON-SIDE KICKS,1-3,0-1
RED-ZONE SCORES,(33-44) 75%,(35-46) 76%
RED-ZONE TOUCHDOWNS,(20-44) 45%,(27-46) 59%
PAT-ATTEMPTS,(27-28) 96%,(39-44) 89%
ATTENDANCE,30840,80738
Games/Avg Per Game,5/6168,6/13456
Neutral Site Games,,0/0
