TEAM STATISTICS,UNI,OPP
SCORING,413,274
Points Per Game,29.5,19.6
Points Off Turnovers,123,24
FIRST DOWNS,272,237
Rushing,159,78
Passing,88,132
Penalty,25,27
RUSHING YARDAGE,3266,1739
Yards gained rushing,3630,2136
Yards lost rushing,364,397
Rushing Attempts,655,532
Average Per Rush,5.0,3.3
Average Per Game,56.4,63.1
TDs Rushing,32,15
PASSING YARDAGE,2083,2911
Comp-Att-Int,165-308-10,264-422-17
Average Per Pass,6.8,6.9
Average Per Catch,12.6,11.0
TDs Passing,15,19
TOTAL OFFENSE,5349,4650
Total Plays,963,954
Average Per Play,5.6,4.9
KICK RETURNS: #-Yards,38-771,53-1157
PUNT RETURNS: #-Yards,33-350,30-334
INT RETURNS: #-Yards,17-386,10-151
KICK RETURN AVERAGE,20.3,21.8
PUNT RETURN AVERAGE,10.6,11.1
INT RETURN AVERAGE,22.7,15.1
FUMBLES-LOST,12-5,25-14
PENALTIES-Yards,87-790,95-884
PUNTS-Yards,87-3665,93-3850
Average Per Punt,42.1,41.4
Net punt average,36.4,37.2
KICKOFFS-Yards,81-4962,55-3399
Average Per Kick,61.3,61.8
Net kick average,39.3,40.5
TIME OF POSSESSION/Game,30:06,29:54
3RD-DOWN Conversions,68/198,69/208
3rd-Down Pct,34%,33%
4TH-DOWN Conversions,8/14,13/25
4th-Down Pct,57%,52%
SACKS BY-Yards,38-200,38-248
MISC YARDS,0,0
TOUCHDOWNS SCORED,53,37
FIELD GOALS-ATTEMPTS,16-22,5-12
ON-SIDE KICKS,0-1,0-1
RED-ZONE SCORES,(39-46) 85%,(30-45) 67%
RED-ZONE TOUCHDOWNS,(27-46) 59%,(26-45) 58%
PAT-ATTEMPTS,(47-50) 94%,(35-37) 95%
ATTENDANCE,69293,152248
Games/Avg Per Game,6/11549,8/19031
Neutral Site Games,,0/0
