TEAM STATISTICS,ILS,OPP
SCORING,255,280
Points Per Game,23.2,25.5
FIRST DOWNS,211,203
Rushing,53,93
Passing,143,89
Penalty,15,21
RUSHING YARDAGE,1086,1843
Yards gained rushing,1347,2182
Yards lost rushing,261,339
Rushing Attempts,361,395
Average Per Rush,3.0,4.7
Average Per Game,63.5,56.6
TDs Rushing,12,18
PASSING YARDAGE,2710,2270
Comp-Att-Int,272-410-8,171-303-14
Average Per Pass,6.6,7.5
Average Per Catch,10.0,13.3
TDs Passing,13,17
TOTAL OFFENSE,3796,4113
Total Plays,771,698
Average Per Play,4.9,5.9
KICK RETURNS: #-Yards,46-959,51-960
PUNT RETURNS: #-Yards,18-180,20-110
INT RETURNS: #-Yards,14-127,8-156
KICK RETURN AVERAGE,20.8,18.8
PUNT RETURN AVERAGE,10.0,5.5
INT RETURN AVERAGE,9.1,19.5
FUMBLES-LOST,10-5,10-5
PENALTIES-Yards,75-698,65-623
PUNTS-Yards,52-1927,53-1802
Average Per Punt,37.1,34.0
Net punt average,34.2,30.2
TIME OF POSSESSION/Game,30:59,29:01
3RD-DOWN Conversions,69/170,51/144
3rd-Down Pct,41%,35%
4TH-DOWN Conversions,6/15,4/14
4th-Down Pct,40%,29%
SACKS BY-Yards,25-181,14-108
MISC YARDS,0,-46
TOUCHDOWNS SCORED,27,35
FIELD GOALS-ATTEMPTS,22-29,12-18
ON-SIDE KICKS,0-0,1-3
RED-ZONE SCORES,29-35 83%,26-31 84%
RED-ZONE TOUCHDOWNS,21-35 60%,17-31 55%
PAT-ATTEMPTS,25-25 100%,34-35 97%
ATTENDANCE,47866,126729
Games/Avg Per Game,5/9573,6/21122
Neutral Site Games,,0/0
